Loaded plugins: fastestmirror
Determining fastest mirrors
Installed Packages
flac-libs.x86_64                    1.3.0-5.el7_1          @base                
flex.x86_64                         2.5.37-3.el7           @base                
fltk.x86_64                         1.3.0-13.el7           @base                
fontconfig.x86_64                   2.10.95-7.el7          @base                
fontconfig-devel.x86_64             2.10.95-7.el7          @base                
fontpackages-filesystem.noarch      1.44-8.el7             @base                
foomatic-filters.x86_64             4.0.9-8.el7            @base                
freetype.x86_64                     2.4.11-11.el7          @base                
freetype-devel.x86_64               2.4.11-11.el7          @base                
fxload.x86_64                       2002_04_11-16.el7      @anaconda            
gawk.x86_64                         4.0.2-4.el7            @anaconda            
gcc.x86_64                          4.8.5-4.el7            @base                
gcc-c++.x86_64                      4.8.5-4.el7            @base                
gcc-gfortran.x86_64                 4.8.5-4.el7            @base                
gcc-gnat.x86_64                     4.8.5-4.el7            @base                
gcc-objc.x86_64                     4.8.5-4.el7            @base                
gcc-objc++.x86_64                   4.8.5-4.el7            @base                
gd.x86_64                           2.0.35-26.el7          @base                
gdbm.x86_64                         1.10-8.el7             @anaconda            
gdbm-devel.x86_64                   1.10-8.el7             @base                
gdisk.x86_64                        0.8.6-5.el7            @base                
gdk-pixbuf2.x86_64                  2.31.6-3.el7           @base                
gedit.x86_64                        2:3.14.3-9.el7         @base                
gettext.x86_64                      0.18.2.1-4.el7         @anaconda            
gettext-common-devel.noarch         0.18.2.1-4.el7         @base                
gettext-devel.x86_64                0.18.2.1-4.el7         @base                
gettext-libs.x86_64                 0.18.2.1-4.el7         @anaconda            
ghostscript.x86_64                  9.07-18.el7            @base                
ghostscript-cups.x86_64             9.07-18.el7            @base                
ghostscript-fonts.noarch            5.50-32.el7            @base                
giflib.x86_64                       4.1.6-9.el7            @base                
git.x86_64                          1.8.3.1-6.el7_2.1      @centos7-x86_64-update
gl2ps.x86_64                        1.3.8-2.el7            @epel7               
glib-networking.x86_64              2.40.0-1.el7           @anaconda            
glib2.x86_64                        2.42.2-5.el7           @base                
glibc.x86_64                        2.17-106.el7_2.8       @centos7-x86_64-update
glibc-common.x86_64                 2.17-106.el7_2.8       @centos7-x86_64-update
glibc-devel.x86_64                  2.17-106.el7_2.8       @centos7-x86_64-update
glibc-headers.x86_64                2.17-106.el7_2.8       @centos7-x86_64-update
glpk.x86_64                         4.52.1-2.el7           @epel7               
gmp.x86_64                          1:6.0.0-11.el7         @anaconda            
gnupg2.x86_64                       2.0.22-3.el7           @anaconda            
gnuplot.x86_64                      4.6.2-3.el7            @base                
gnuplot-common.x86_64               4.6.2-3.el7            @base                
gnutls.x86_64                       3.3.8-12.el7           @anaconda            
gobject-introspection.x86_64        1.36.0-4.el7           @anaconda            
gpgme.x86_64                        1.3.2-5.el7            @anaconda            
gpm-libs.x86_64                     1.20.7-5.el7           @base                
graphite2.x86_64                    1.3.6-1.el7_2          @centos7-x86_64-update
grep.x86_64                         2.20-1.el7             @anaconda            
groff-base.x86_64                   1.22.2-8.el7           @anaconda            
grub2.x86_64                        1:2.02-0.16.el7.centos @anaconda            
grub2-tools.x86_64                  1:2.02-0.16.el7.centos @anaconda            
grubby.x86_64                       8.28-11.el7            @anaconda            
gsettings-desktop-schemas.x86_64    3.8.2-3.el7            @anaconda            
gsl.x86_64                          1.15-13.el7            @base                
gsm.x86_64                          1.0.13-11.el7          @base                
gstreamer.x86_64                    0.10.36-7.el7          @base                
gstreamer-plugins-base.x86_64       0.10.36-10.el7         @base                
gstreamer-plugins-good.x86_64       0.10.31-11.el7         @base                
gstreamer-tools.x86_64              0.10.36-7.el7          @base                
gtk2.x86_64                         2.24.28-8.el7          @base                
gtk3.x86_64                         3.14.13-16.el7         @base                
gtksourceview3.x86_64               3.14.3-1.el7           @base                
gvfs.x86_64                         1.22.4-6.el7           @base                
gzip.x86_64                         1.5-7.el7              @anaconda            
hardlink.x86_64                     1:1.0-19.el7           @anaconda            
harfbuzz.x86_64                     0.9.36-1.el7           @base                
hdf5.x86_64                         1.8.12-7.el7           @epel7               
hicolor-icon-theme.noarch           0.12-7.el7             @base                
hiera.noarch                        1:1.3.4-5.el7          @epel7               
hostname.x86_64                     3.13-3.el7             @anaconda            
httpd.x86_64                        2.4.6-40.el7.centos.4  @centos7-x86_64-update
httpd-tools.x86_64                  2.4.6-40.el7.centos.4  @centos7-x86_64-update
hunspell.x86_64                     1.3.2-13.el7           @base                
hunspell-en-US.noarch               0.20121024-5.el7       @base                
hwdata.noarch                       0.252-7.5.el7          @anaconda            
hwloc-libs.x86_64                   1.7-5.el7              @base                
ilmbase.x86_64                      1.0.3-7.el7            @base                
imake.x86_64                        1.0.5-10.el7           @base                
indent.x86_64                       2.2.11-13.el7          @base                
infinipath-psm.x86_64               3.3-0.g6f42cdb1bb8.2.el7
                                                           @base                
info.x86_64                         5.1-4.el7              @anaconda            
initscripts.x86_64                  9.49.30-1.el7_2.3      @centos7-x86_64-update
intltool.noarch                     0.50.2-6.el7           @base                
iproute.x86_64                      3.10.0-21.el7          @anaconda            
iprutils.x86_64                     2.4.3-3.el7            @anaconda            
iptables.x86_64                     1.4.21-13.el7          @anaconda            
iputils.x86_64                      20121221-6.el7         @anaconda            
irqbalance.x86_64                   2:1.0.7-1.el7          @anaconda            
iso-codes.noarch                    3.46-2.el7             @base                
ivtv-firmware.noarch                2:20080701-26.el7      @anaconda            
iwl100-firmware.noarch              39.31.5.1-36.el7       @anaconda            
iwl1000-firmware.noarch             1:39.31.5.1-36.el7     @anaconda            
iwl105-firmware.noarch              18.168.6.1-36.el7      @anaconda            
iwl135-firmware.noarch              18.168.6.1-36.el7      @anaconda            
iwl2000-firmware.noarch             18.168.6.1-36.el7      @anaconda            
iwl2030-firmware.noarch             18.168.6.1-36.el7      @anaconda            
iwl3160-firmware.noarch             22.0.7.0-36.el7        @anaconda            
iwl3945-firmware.noarch             15.32.2.9-36.el7       @anaconda            
iwl4965-firmware.noarch             228.61.2.24-36.el7     @anaconda            
iwl5000-firmware.noarch             8.83.5.1_1-36.el7      @anaconda            
iwl5150-firmware.noarch             8.24.2.2-36.el7        @anaconda            
iwl6000-firmware.noarch             9.221.4.1-36.el7       @anaconda            
iwl6000g2a-firmware.noarch          17.168.5.3-36.el7      @anaconda            
iwl6000g2b-firmware.noarch          17.168.5.2-36.el7      @anaconda            
iwl6050-firmware.noarch             41.28.5.1-36.el7       @anaconda            
iwl7260-firmware.noarch             22.0.7.0-36.el7        @anaconda            
jansson.x86_64                      2.4-6.el7              @anaconda            
jasper-libs.x86_64                  1.900.1-29.el7         @base                
java-1.7.0-openjdk.x86_64           1:1.7.0.111-2.6.7.2.el7_2
                                                           @centos7-x86_64-update
java-1.7.0-openjdk-devel.x86_64     1:1.7.0.111-2.6.7.2.el7_2
                                                           @centos7-x86_64-update
java-1.7.0-openjdk-headless.x86_64  1:1.7.0.111-2.6.7.2.el7_2
                                                           @centos7-x86_64-update
java-1.8.0-openjdk-headless.x86_64  1:1.8.0.102-1.b14.el7_2
                                                           @centos7-x86_64-update
javapackages-tools.noarch           3.4.1-11.el7           @base                
jbigkit-libs.x86_64                 2.0-11.el7             @base                
json-c.x86_64                       0.11-4.el7_0           @anaconda            
json-glib.x86_64                    1.0.2-1.el7            @base                
kbd.x86_64                          1.15.5-11.el7          @anaconda            
kbd-legacy.noarch                   1.15.5-11.el7          @anaconda            
kbd-misc.noarch                     1.15.5-11.el7          @anaconda            
kde-filesystem.x86_64               4-47.el7               @base                
kernel.x86_64                       3.10.0-229.el7         @anaconda            
kernel-abi-whitelists.noarch        3.10.0-327.36.2.el7    @updates             
kernel-devel.x86_64                 3.10.0-327.36.2.el7    @updates             
kernel-headers.x86_64               3.10.0-327.36.2.el7    @updates             
kernel-tools.x86_64                 3.10.0-229.el7         @anaconda            
kernel-tools-libs.x86_64            3.10.0-229.el7         @anaconda            
kexec-tools.x86_64                  2.0.7-19.el7           @anaconda            
keyutils-libs.x86_64                1.5.8-3.el7            @anaconda            
kmod.x86_64                         20-8.el7_2             @centos7-x86_64-update
kmod-libs.x86_64                    14-10.el7              @anaconda            
kpartx.x86_64                       0.4.9-77.el7           @anaconda            
krb5-libs.x86_64                    1.12.2-14.el7          @anaconda            
ksc.noarch                          0.9.11-1.el7           @base                
lapack.x86_64                       3.4.2-5.el7            @base                
lcms2.x86_64                        2.6-2.el7              @base                
less.x86_64                         458-8.el7              @anaconda            
libICE.x86_64                       1.0.9-2.el7            @base                
libRmath.x86_64                     3.3.1-2.el7            @epel7               
